ï»¿,name_last,name_first,key_mlbam
78982,Nastrini, Nick,680897
79267,Ramirez, Nick,598286
82244,Hernandez, Nick,663321
82797,Gose, Anthony,543238
83068,Stubbs, Garrett,596117
83215,Johnson, Seth,686751
85178,Crouse, Hans,668968
87797,Blach, Ty,621389
88267,Vanasco, Ricky,676568
89680,Mederos, Victor,682989
91845,Nelson, Nick,656793
91872,Hensley, David,682073
92113,Kitchen, Austin,685116
97107,Tellez, Rowdy,642133
97257,GermÃ¡n, Domingo,593334
97467,Whitley, Forrest,666215
98884,Hill, Rich,448179
99252,Junk, Janson,676083
100481,Bickford, Phil,641360
100506,Marinaccio, Ron,676760
103965,Harrison, Kyle,690986
105437,Toussaint, Touki,657053
109385,Cobb, Alex,502171
109571,Justice, Evan,687145
111754,Emanuel, Kent,592288
113016,Stone, Gavin,694813
113629,Buchanan, David,571527
117383,Kershaw, Clayton,477132
118075,Maile, Luke,571912
120348,Marte, Yunior,628708
120978,Reynolds, Sean,669308
121062,RamÃ­rez, Erasmo,541640
121431,Gray, Jon,592351
123059,Davis, Noah,663562
125636,Peralta, Sammy,671111
125859,Kravetz, Evan,667478
125863,Kelly, Casey,543391
127832,Wilson, Weston,642215
127865,Mercado, Michael,675650
131193,Cueto, Johnny,456501
132777,Heller, Ben,621294
135377,Richards, Trevor,670950
135931,Feigl, Brady,621399
137741,RodrÃ­guez, Joely,570257
138112,Sammons, Bryan,676614
138575,Hampson, Garrett,641658
138606,Smith, Will,519293
138963,Lopez, Jacob,682052
139644,Gilbreath, Lucas,656458
141102,Moore, Matt,519043
142421,Bush, Ky,681066
143190,Kuhnel, Joel,669270
143496,Ramirez, Emmanuel,642629
144831,Stratton, Hunter,676702
144964,NÃºÃ±ez, Dedniel,673380
148742,JimÃ©nez, Dany,666204
149517,Blackburn, Paul,621112
150509,Vespi, Nick,663989
152823,Adon, Joan,672851
152847,Lambert, Peter,663567
154619,Nardi, Andrew,677053
158098,Faedo, Alex,656412
163091,Rogers, Trevor,669432
167717,Ryan, Ryder,656924
170680,Cisnero, JosÃ©,542585
179498,Pint, Riley,666207
180372,Wilson, Steven,621051
180423,Leone, Dominic,608678
182478,Klein, Will,694361
183296,Yastrzemski, Mike,573262
186449,Winder, Josh,680739
186856,Adams, Austin,613534
189441,Strzelecki, Peter,657265
189824,Daniel, Davis,669721
191726,Smith, Dominic,642086
191986,Paxton, James,572020
192046,Rogers, Josh,642028
195205,Weems, Jordan,607179
196553,Hudson, Dakota,641712
197096,Ryan, River,689981
197330,Brito, Jhony,666745
204796,Williams, Luke,663897
204962,Dunshee, Parker,670161
205725,Tyler, Kyle,667725
206331,Edwards Jr., Carl,605218
207699,Dodd, Dylan,689266
209029,Shreve, Chasen,592741
210539,Marte, JosÃ©,665896
211258,Gonzales, Marco,594835
211449,HernÃ¡ndez, Jonathan,642546
212346,RodrÃ­guez, Yerry,666720
214650,Reyes, Gerardo,622103
232016,Latz, Jacob,656641
233727,Curtiss, John,595928
234356,Rodriguez, Grayson,680570
234425,Espino, Paolo,502179
235024,Thorpe, Drew,689672
237434,Loutos, Ryan,702795
238394,Cuas, Jose,621016
238746,RamÃ­rez, Yohan,670990
239318,Richardson, Lyon,680689
240365,Jay, Tyler,664079
241405,Kolek, Stephen,663568
242627,Castro, Miguel,612434
244933,Vines, Darius,670241
245199,Wallner, Matt,670242
245231,Stewart, Brock,592779
245283,Staumont, Josh,622251
248918,Diekman, Jake,518617
250105,Zuber, Tyler,676604
254401,Crawford, Brandon,543063
254460,Gallegos, Giovanny,606149
255776,Davis, Austin,656354
255805,Mazur, Adam,800049
261528,Clement, Ernie,676391
262305,Winans, Allan,642216
262645,Zastryzny, Rob,642239
264083,McDermott, Chayce,694646
264531,Houser, Adrian,605288
268159,Nittoli, Vinny,657697
269212,Bloss, Jake,814005
271834,Castellanos, Humberto,528748
272518,Chirinos, Yonny,630023
276104,Scott, Christian,681035
277222,Fleming, Josh,676596
279453,Howard, Spencer,675921
281296,Maciejewski, Josh,656671
285527,Guillorme, Luis,641645
289659,Willingham, Amos,686294
291583,Vieira, Thyago,600986
292206,Anderson, Nick,623433
294094,Keuchel, Dallas,572971
295770,Bote, David,623520
301252,Medina, Luis,665622
301772,Hedges, Austin,595978
305738,Hentges, Sam,656529
306012,Rivera, Emmanuel,656896
319527,Brewer, Colten,605155
321762,McCann, James,543510
321776,O'Loughlin, Jack,672552
326622,Jefferies, Daulton,641726
326640,Torrens, Luis,620443
326643,Adcock, Ty,686654
327016,Jacques, Joe,682175
330004,Andriese, Matt,542882
334213,Mena, Cristian,691441
342817,Krook, Matt,640454
344056,Wantz, Andrew,681806
353156,Plesac, Zach,668676
359593,Turnbull, Spencer,605513
361126,Cosgrove, Tom,676680
366245,Bolton, Cody,675989
366914,Campbell, Isaiah,663462
367541,Bruihl, Justin,677865
368322,Brooks, Aaron,605156
369461,Burgos, Raymond,670103
369911,Devenski, Chris,606965
370162,Smith, Drew,622098
376749,Barnhart, Tucker,571466
376871,Henry, Tommy,674072
377379,Rodriguez, Carlos,692230
379083,Hartlieb, Geoff,664129
380075,Sandoval, Patrick,663776
383199,Jackson, Jay,543351
383497,Trevino, Jose,624431
383566,GonzÃ¡lez, Victor,624647
384467,Kloffenstein, Adam,680572
384627,Winn, Keaton,676775
387296,Misiewicz, Anthony,664948
387639,Altavilla, Dan,656186
388513,Reid-Foley, Sean,656887
390692,HernÃ¡ndez, Elieser,622694
394138,Feyereisen, J.P.,656420
394941,Garrett, Braxton,666129
395623,Knizner, Andrew,668800
395662,Winn, Cole,668390
396702,Waldrep, Hurston,694462
401153,Kerr, Ray,678061
405704,Bradish, Kyle,680694
408132,Cimber, Adam,643256
418219,Pratto, Nick,668472
422537,Snead, Kirby,669912
429743,Cabrera, Oswaldo,665828
430606,Smith, Pavin,656976
430706,Allen, Logan,663531
432632,Meeker, James,703231
432648,McKinstry, Zach,656716
434899,Carasiti, Matt,571539
436096,Mendick, Danny,664901
444567,Mushinski, Parker,656786
453920,Kelly, Michael,547184
456657,Gasser, Robert,688107
456857,Walker, Josh,677020
457697,Tucker, Cole,657061
459682,Speas, Alex,666208
459981,Loftin, Nick,679845
460642,SÃ¡nchez, Sixto,664350
465687,Manoah, Alek,666201
467200,White, Mitch,669952
487593,Avila, Nick,687014
489496,Heasley, Jonathan,669169
490488,Burdi, Nick,595897
490762,Koch, Matt,571863
491452,Hernandez, Jose E.,669796
492730,Lange, Alex,656638
495028,Means, John,607644
497104,Javier, Cristian,664299
498131,Andrews, Clayton,677076
501516,Duffey, Tyler,608648
503791,Manning, Matt,666159
514499,Hartwig, Grant,701643
518615,Stephens, Jackson,623451
524654,Garrett, Amir,607237
526040,Crismatt, Nabil,622503
533477,Alzolay, Adbert,640470
534658,Wood, Alex,622072
541442,Villalobos, Eli,681871
550617,Almonte, Yency,622075
563537,Matzek, Tyler,554431
564677,Fitzgerald, Tyler,666149
568320,Uwasawa, Naoyuki,683822
571208,Beede, Tyler,595881
572130,Barnes, Matt,598264
581365,Saalfrank, Andrew,685314
584147,Bowlan, Jonathan,680742
585943,Kristofak, Zac,670219
589157,Reyes, Pablo,622569
589175,Wisdom, Patrick,621550
589188,Mervis, Matt,670223
589487,GarcÃ­a, Deivi,665620
590493,Hicks, Aaron,543305
591172,Miller, Owen,680911
596884,Kiner-Falefa, Isiah,643396
604764,France, J.P.,641585
604947,Pinto, Ricardo,620982
607485,Thompson, Zack,668868
611056,Nelson, Kyle,669459
616190,Pruitt, Austin,643493
622473,Raley, Brooks,548384
624260,Teng, Kai-Wei,678906
626786,Parsons, Wes,641149
632617,Hurt, Kyle,669165
633199,Miley, Wade,489119
644217,Bukauskas, J.B.,656266
648351,Rortvedt, Ben,666163
649429,Wells, Tyler,669330
651541,Lyles, Jordan,543475
652781,Waguespack, Jacob,621097
653899,Kessinger, Grae,666197
655287,Shaw, Bryan,543766
660052,Suero, Wander,593833
